BlanchaL,128050001,ValenziB,40090001,255120001
BlanchaP,159020001,ValentiS,23710001,255110001
BlancheH,4590001,ValentiR,75280001,255100001
BlancheP,24970001,ValentiK,146990001,255090001
Blanco-C,252280001,ValentiC,129240001,255080001
BlanderK,137190001,ValenteR,71450001,255070001
BlanderM,216550001,ValentaT,142990001,255060001
Blann25A,52120001,ValentaC,65550001,255050001
BlaschuA,106440001,ValentaA,41030001,255040001
BlaschuC,135940001,ValcourF,208500001,255030001
BlasingA,43750001,VajentiA,241960001,255020001
BlasingL,73830001,VairavaL,100900001,255010001
Blasko2B,230390001,VaillanV,71650001,255000001
Blasko2M,191440001,VaillanT,132190001,254990001
Blasko2P,66950001,VaillanK,243040001,254980001
BlatherL,154940001,VaillanJ,52470001,254970001
BlatherN,11040001,VaillanG,52280001,254960001
Blatt25H,35400001,VaillanB,220290001,254950001
Blatt25J,169150001,VaillanA,138070001,254940001
Blatt25M,157000001,Vaid25R,250750001,254930001
Blatt25R,185370001,Vaid25K,116310001,254920001
Blauer2L,64230001,Vaid25J,122660001,254910001
BlaufusN,76880001,Vaid25I,75970001,254900001
BlaufusU,227850001,Vaid25H,246550001,254890001
BlaylocK,175690001,Vaid25A,203540001,254880001
BlaylocM,118470001,Vahdat2L,69800001,254870001
BlaylocR,40950001,Vahdat2C,54950001,254860001
BlazejeC,66510001,Vahary2S,132600001,254850001
Blazek2M,123120001,Vahary2N,64340001,254840001
Blazek2O,163790001,Vafaie2J,167250001,254830001
Blazer2M,55930001,Vadala2B,117030001,254820001
Blazer2P,164850001,Vachon2R,189380001,254810001
Bleile2C,216070001,Vachon2G,187140001,254800001
Blenk25H,195640001,Vachon2D,35750001,254790001
Blenk25R,179510001,Vacher2T,236740001,254780001
BlenkarD,173960001,Vacher2M,162740001,254770001
BlenkarE,177680001,Vacher2A,90580001,254760001
BlenkarM,151600001,Uyar25R,252330001,254750001
BlenkarN,221440001,Uyar25O,205180001,254740001
BlenkarT,67150001,Uyar25E,58550001,254730001
BlenkarV,21910001,Uyar25B,109960001,254720001
BlethenC,8450001,Utsumi2T,211180001,254710001
BlethenT,155510001,Utsumi2M,23350001,254700001
Bleuer2L,245540001,Utas25N,101240001,254690001
BlevinsJ,226110001,Usyk25M,220450001,254680001
BlevinsM,18380001,Usyk25C,206560001,254670001
BlevinsT,167500001,UsrouteT,104990001,254660001
BlezardC,46330001,UsrouteH,164880001,254650001
Blidy25D,177570001,UsrouteC,141830001,254640001
Blidy25N,63700001,USER25T,199130001,254630001
Blidy25R,67630001,USER25M,56550001,254620001
BlimkieD,96590001,USER25K,8540001,254610001
BlimkieO,216780001,USER25D,28900001,254600001
BlissetY,93570001,USER25B,224990001,254590001
BlodgetD,9150001,Urwin25R,105680001,254580001
BloedonU,110360001,Urwin25B,81820001,254570001
BloemkeK,216880001,Urwin25A,91580001,254560001
Blois25J,41620001,UrquharC,5420001,254550001
Blois25V,101580001,Urow25M,112460001,254540001
BlomquiA,92920001,Urow25D,127380001,254530001
BlomquiR,81430001,Urow25C,4580001,254520001
BloodwoA,126790001,Urow25A,7680001,254510001
BloodwoM,94550001,Urnes25E,129280001,254500001
BlosteiB,117670001,UrbshasI,23990001,254490001
BlosteiH,206250001,UrbshasF,47410001,254480001
BlosteiR,135330001,Urbick2N,22510001,254470001
BlosteiV,250890001,Urbick2K,191480001,254460001
Blouin2A,155240001,UrbanowS,158250001,254450001
Blouin2F,88180001,Upton25M,38110001,254440001
Blount2E,14890001,Upshaw2S,222770001,254430001
Blount2J,238500001,Upshaw2N,163100001,254420001
Blount2P,149200001,Upshaw2M,40410001,254410001
BluethnD,248900001,Uppal25L,31730001,254400001
BluethnN,113480001,Updt25J,246160001,254390001
BlumenfA,245890001,Updt25A,9290001,254380001
BlumenfS,204190001,UpchurcZ,174740001,254370001
Blumer2P,81970001,UpchurcT,82950001,254360001
Bly25N,168370001,UpchurcS,243120001,254350001
BlyszczB,168800001,UpchurcH,180140001,254340001
BmethodB,189840001,UpchurcD,44410001,254330001
BmethodJ,112040001,UpchurcA,228270001,254320001
BmethodN,56000001,Unsoy25V,164330001,254310001
BnrecadB,169080001,Unsoy25L,217800001,254300001
BnrecadE,106980001,Unkles2S,175990001,254290001
BnrecadG,5260001,Unkles2M,248350001,254280001
BnrecadZ,31230001,UnkeferA,148780001,254270001
BnrinfoA,234110001,Unger25S,228050001,254260001
BnrinfoS,235250001,Unger25O,142630001,254250001
Bnrlsi2T,35970001,Unger25A,195920001,254240001
BnrsporE,183860001,UnderwoT,227790001,254230001
BnrsporS,211120001,UnderwoP,239080001,254220001
BnrsporW,117820001,UnderwoM,181020001,254210001
Boal25Y,28550001,UnderwoE,12060001,254200001
BoarderM,253070001,UnderwoC,68320001,254190001
BoarderT,147690001,UmphresI,164300001,254180001
Boase25E,17520001,Umetsu2I,53240001,254170001
Boase25S,105430001,Umetsu2A,136840001,254160001
BoatwriI,10810001,Umeh25R,60610001,254150001
BoatwriW,30520001,UludamaO,66610001,254140001
Bobar25F,128000001,Ulrich2M,11440001,258640001
Bobar25I,90340001,Ully25E,194480001,258630001
BobbittB,74860001,Ukena25M,121440001,258620001
BobbittM,153150001,Ukena25L,184150001,258610001
BoccaliK,169960001,Uhlig25R,67560001,258600001
BoccaliM,40590001,Uhlig25B,162760001,258590001
Bockaj2D,139670001,UhlhornL,51170001,258580001
Bockaj2E,78130001,Uhl25C,231010001,258570001
BocklagB,137290001,Ugwa25S,142320001,258560001
BocservK,20680001,Ugwa25N,160050001,258550001
Boden25K,242940001,UguccioT,142090001,258540001
BodfordJ,179480001,UguccioS,106380001,258530001
Bodin25D,151910001,UguccioL,180750001,258520001
Bodin25E,59660001,UguccioF,248770001,258510001
Bodin25R,170660001,UguccioC,5840001,258500001
Bodin25S,187290001,UguccioA,182600001,258490001
Bodin25V,19930001,UfomaduT,235560001,258480001
Boeck25H,142510001,Uffner2N,26570001,258470001
Boeck25T,159110001,Uffner2J,143150001,258460001
Boecke2E,149770001,Uffner2D,39610001,258450001
